angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.27,,,"[893, 147, 161, 212]",,,0.0,,,0.1,,,0.0,,,0.34,,,0.27,,,0.02,,
0.2,,,"[894, 147, 159, 211]",,,0.0,,,0.11,,,0.0,,,0.38,,,0.31,,,0.01,,
0.19,,,"[894, 147, 159, 210]",,,0.0,,,0.14,,,0.0,,,0.33,,,0.33,,,0.01,,
0.19,,,"[893, 145, 160, 213]",,,0.0,,,0.1,,,0.0,,,0.39,,,0.31,,,0.01,,
0.17,,,"[894, 148, 159, 209]",,,0.0,,,0.14,,,0.0,,,0.41,,,0.27,,,0.01,,
0.2,,,"[894, 147, 159, 211]",,,0.0,,,0.12,,,0.0,,,0.37,,,0.3,,,0.01,,
0.21,,,"[893, 146, 160, 212]",,,0.0,,,0.1,,,0.0,,,0.38,,,0.31,,,0.01,,
0.19,,,"[894, 148, 158, 209]",,,0.0,,,0.13,,,0.0,,,0.33,,,0.34,,,0.01,,
0.23,,,"[893, 147, 157, 212]",,,0.0,,,0.11,,,0.0,,,0.36,,,0.29,,,0.01,,
0.17,,,"[892, 146, 158, 214]",,,0.0,,,0.14,,,0.0,,,0.34,,,0.34,,,0.01,,
0.21,,,"[893, 147, 161, 211]",,,0.0,,,0.11,,,0.0,,,0.33,,,0.34,,,0.01,,
0.19,,,"[893, 148, 157, 211]",,,0.0,,,0.16,,,0.0,,,0.42,,,0.22,,,0.01,,
0.2,,,"[890, 145, 167, 220]",,,0.0,,,0.09,,,0.0,,,0.31,,,0.38,,,0.01,,
0.25,,,"[893, 146, 158, 213]",,,0.0,,,0.08,,,0.0,,,0.35,,,0.31,,,0.01,,
0.2,,,"[892, 145, 160, 215]",,,0.0,,,0.09,,,0.0,,,0.33,,,0.37,,,0.01,,
0.17,,,"[893, 145, 161, 212]",,,0.0,,,0.14,,,0.0,,,0.37,,,0.31,,,0.01,,
0.18,,,"[892, 146, 159, 213]",,,0.0,,,0.11,,,0.0,,,0.38,,,0.32,,,0.01,,
0.18,,,"[894, 146, 161, 211]",,,0.0,,,0.13,,,0.0,,,0.37,,,0.31,,,0.01,,
0.17,,,"[895, 147, 159, 210]",,,0.0,,,0.15,,,0.0,,,0.33,,,0.35,,,0.01,,
0.17,,,"[894, 147, 160, 210]",,,0.0,,,0.17,,,0.0,,,0.33,,,0.32,,,0.01,,
0.16,,,"[892, 141, 163, 221]",,,0.0,,,0.07,,,0.0,,,0.48,,,0.27,,,0.02,,
0.25,,,"[892, 141, 164, 218]",,,0.0,,,0.09,,,0.0,,,0.34,,,0.31,,,0.01,,
0.2,,,"[891, 139, 164, 222]",,,0.0,,,0.07,,,0.0,,,0.39,,,0.33,,,0.01,,
0.13,,,"[892, 143, 162, 218]",,,0.0,,,0.09,,,0.0,,,0.43,,,0.33,,,0.02,,
0.14,,,"[892, 141, 163, 220]",,,0.0,,,0.07,,,0.0,,,0.47,,,0.31,,,0.01,,
0.22,,,"[893, 146, 159, 214]",,,0.0,,,0.14,,,0.0,,,0.32,,,0.31,,,0.01,,
0.15,,,"[894, 146, 161, 212]",,,0.0,,,0.16,,,0.0,,,0.36,,,0.31,,,0.01,,
0.16,,,"[893, 145, 162, 214]",,,0.0,,,0.08,,,0.0,,,0.46,,,0.28,,,0.01,,
0.19,,,"[894, 146, 162, 213]",,,0.0,,,0.16,,,0.0,,,0.31,,,0.33,,,0.01,,
0.22,,,"[893, 141, 164, 217]",,,0.0,,,0.14,,,0.0,,,0.26,,,0.37,,,0.02,,
0.14,,,"[892, 140, 162, 221]",,,0.0,,,0.08,,,0.0,,,0.43,,,0.33,,,0.01,,
0.16,,,"[892, 141, 165, 220]",,,0.0,,,0.08,,,0.0,,,0.41,,,0.3,,,0.04,,
0.15,,,"[893, 142, 164, 219]",,,0.0,,,0.1,,,0.0,,,0.4,,,0.32,,,0.04,,
0.2,,,"[894, 146, 161, 213]",,,0.0,,,0.11,,,0.0,,,0.35,,,0.33,,,0.02,,
0.19,,,"[894, 146, 160, 212]",,,0.0,,,0.14,,,0.0,,,0.33,,,0.33,,,0.01,,
0.18,,,"[893, 146, 161, 212]",,,0.0,,,0.13,,,0.0,,,0.37,,,0.31,,,0.01,,
0.19,,,"[894, 147, 160, 211]",,,0.0,,,0.12,,,0.0,,,0.34,,,0.33,,,0.01,,
0.19,,,"[893, 145, 160, 213]",,,0.0,,,0.1,,,0.0,,,0.41,,,0.29,,,0.01,,
0.16,,,"[892, 145, 161, 213]",,,0.0,,,0.15,,,0.0,,,0.25,,,0.43,,,0.01,,
0.25,,,"[904, 150, 152, 202]",,,0.0,,,0.19,,,0.0,,,0.18,,,0.37,,,0.0,,
0.25,,,"[903, 149, 153, 203]",,,0.0,,,0.19,,,0.0,,,0.21,,,0.34,,,0.0,,
0.3,,,"[901, 149, 155, 204]",,,0.0,,,0.14,,,0.0,,,0.2,,,0.36,,,0.0,,
0.32,,,"[901, 148, 155, 205]",,,0.0,,,0.15,,,0.0,,,0.18,,,0.35,,,0.01,,
0.32,,,"[902, 151, 156, 197]",,,0.0,,,0.14,,,0.0,,,0.22,,,0.31,,,0.01,,
0.26,,,"[893, 140, 163, 219]",,,0.0,,,0.09,,,0.0,,,0.34,,,0.29,,,0.02,,
0.23,,,"[892, 141, 163, 220]",,,0.0,,,0.08,,,0.0,,,0.31,,,0.38,,,0.0,,
0.27,,,"[894, 143, 161, 213]",,,0.0,,,0.13,,,0.0,,,0.27,,,0.32,,,0.0,,
0.28,,,"[893, 139, 163, 217]",,,0.0,,,0.16,,,0.0,,,0.21,,,0.34,,,0.02,,
0.15,,,"[894, 138, 163, 217]",,,0.0,,,0.12,,,0.0,,,0.38,,,0.33,,,0.01,,
0.12,,,"[894, 138, 161, 216]",,,0.0,,,0.17,,,0.0,,,0.35,,,0.35,,,0.02,,
0.28,,,"[892, 144, 162, 213]",,,0.0,,,0.1,,,0.0,,,0.36,,,0.25,,,0.01,,
0.27,,,"[892, 144, 162, 212]",,,0.0,,,0.11,,,0.0,,,0.35,,,0.26,,,0.01,,
0.14,,,"[891, 144, 161, 213]",,,0.0,,,0.12,,,0.0,,,0.48,,,0.25,,,0.02,,
0.13,,,"[890, 139, 165, 224]",,,0.0,,,0.07,,,0.0,,,0.39,,,0.39,,,0.03,,
0.26,,,"[890, 139, 163, 221]",,,0.0,,,0.06,,,0.0,,,0.29,,,0.4,,,0.01,,
0.27,,,"[891, 145, 162, 213]",,,0.0,,,0.12,,,0.0,,,0.29,,,0.3,,,0.01,,
0.14,,,"[891, 141, 160, 219]",,,0.0,,,0.07,,,0.0,,,0.4,,,0.37,,,0.02,,
0.15,,,"[893, 139, 161, 215]",,,0.0,,,0.11,,,0.0,,,0.37,,,0.35,,,0.01,,
0.2,,,"[890, 139, 163, 221]",,,0.0,,,0.07,,,0.0,,,0.27,,,0.45,,,0.01,,
0.14,,,"[890, 140, 163, 221]",,,0.0,,,0.06,,,0.0,,,0.33,,,0.45,,,0.01,,
0.29,,,"[892, 146, 161, 213]",,,0.0,,,0.14,,,0.0,,,0.24,,,0.32,,,0.01,,
0.17,,,"[892, 140, 163, 219]",,,0.0,,,0.07,,,0.0,,,0.45,,,0.29,,,0.01,,
0.3,,,"[892, 145, 162, 214]",,,0.0,,,0.1,,,0.0,,,0.29,,,0.3,,,0.01,,
0.22,,,"[890, 139, 163, 222]",,,0.0,,,0.07,,,0.0,,,0.31,,,0.38,,,0.01,,
0.2,,,"[893, 146, 160, 212]",,,0.0,,,0.12,,,0.0,,,0.36,,,0.31,,,0.01,,
0.13,,,"[891, 141, 163, 219]",,,0.0,,,0.07,,,0.0,,,0.42,,,0.37,,,0.02,,
0.17,,,"[891, 140, 162, 221]",,,0.0,,,0.05,,,0.0,,,0.39,,,0.38,,,0.01,,
0.31,,,"[893, 147, 161, 211]",,,0.0,,,0.12,,,0.0,,,0.32,,,0.25,,,0.01,,
0.26,,,"[893, 146, 161, 212]",,,0.0,,,0.09,,,0.0,,,0.29,,,0.35,,,0.01,,
